Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 253661  Y 494650
X 286732  Y 494650
X 303267  Y 494650
X 319803  Y 494650
X 303267  Y 516350
X 286732  Y 516350
X 319803  Y 516350
X 303267  Y 931150
X 286732  Y 931150
X 319803  Y 931150
X 286732  Y 952850
X 319803  Y 952850
X 303267  Y 952850
X 352874  Y 952850
X 336338  Y 952850
X 369409  Y 952850
X 336338  Y 931150
X 352874  Y 931150
X 369409  Y 931150
X 336338  Y 516350
X 352874  Y 516350
X 369409  Y 516350
X 336338  Y 494650
X 369409  Y 494650
X 352874  Y 494650
X 385944  Y 494650
X 414055  Y 494650
X 430590  Y 494650
X 447125  Y 494650
X 414055  Y 516350
X 385944  Y 516350
X 447125  Y 516350
X 430590  Y 516350
X 430590  Y 931150
X 447125  Y 931150
X 414055  Y 931150
X 385944  Y 931150
X 385944  Y 952850
X 447125  Y 952850
X 414055  Y 952850
X 430590  Y 952850
X 480196  Y 952850
X 463661  Y 952850
X 496732  Y 952850
X 463661  Y 931150
X 480196  Y 931150
X 496732  Y 931150
X 480196  Y 516350
X 463661  Y 516350
X 496732  Y 516350
X 496732  Y 494650
X 463661  Y 494650
X 480196  Y 494650
X 513267  Y 494650
X 529803  Y 494650
X 546338  Y 494650
X 529803  Y 516350
X 513267  Y 516350
X 546338  Y 516350
X 529803  Y 931150
X 513267  Y 931150
X 546338  Y 931150
X 513267  Y 952850
X 546338  Y 952850
X 529803  Y 952850
X 579409  Y 952850
X 562874  Y 952850
X 595944  Y 952850
X 579409  Y 931150
X 562874  Y 931150
X 595944  Y 931150
X 579409  Y 516350
X 595944  Y 516350
X 562874  Y 516350
X 562874  Y 494650
X 595944  Y 494650
X 579409  Y 494650

Drill: .08268  Tool: 6  Feed: 74  Speed: 550
X 610659  Y 719917
X 610659  Y 767161

Drill: .13  Tool: 7  Feed: 35  Speed: 794
X 191100  Y 728600
X 191100  Y 768600

Drill: .157  Tool: 8  Feed: 35  Speed: 900
X 165800  Y 502900
X 166000  Y 944100
X 633900  Y 944000
X 634200  Y 503000

End of Listing
